"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 18 16:56:32 MSK 2021","Thu Nov 18 16:56:54 MSK 2021","21182","","ru.vakulina.seleniumWebDriverTests.CrmTests","","ru.vakulina.seleniumWebDriverTests.CrmTests","crmContactPersonTest","crmContactPersonTest()",""
"passed","Thu Nov 18 16:56:02 MSK 2021","Thu Nov 18 16:56:32 MSK 2021","29855","","ru.vakulina.seleniumWebDriverTests.CrmTests","","ru.vakulina.seleniumWebDriverTests.CrmTests","crmProjectTest","crmProjectTest()",""
